Ma,Re_L,alpha_L,c_i
2,300.000000,0.020000,
2,300.000000,0.027586,
2,300.000000,0.035172,
2,300.000000,0.042759,
2,300.000000,0.050345,
2,300.000000,0.057931,
2,300.000000,0.065517,-3.44225384e-02
2,300.000000,0.073103,-3.95739900e-02
2,300.000000,0.080690,-3.72766282e-02
2,300.000000,0.088276,-2.80549809e-02
2,300.000000,0.095862,-2.07366734e-02
2,300.000000,0.103448,-1.51261786e-02
2,300.000000,0.111034,-1.09303728e-02
2,300.000000,0.118621,-7.87109783e-03
2,300.000000,0.126207,-5.71240034e-03
2,300.000000,0.133793,-4.25813171e-03
2,300.000000,0.141379,-3.34620100e-03
2,300.000000,0.148966,-2.84418992e-03
2,300.000000,0.156552,-2.64540051e-03
2,300.000000,0.164138,-2.66484973e-03
2,300.000000,0.171724,-2.83544008e-03
2,300.000000,0.179310,-3.10460252e-03
2,300.000000,0.186897,-3.43153718e-03
2,300.000000,0.194483,-3.78503161e-03
2,300.000000,0.202069,-4.14175975e-03
2,300.000000,0.209655,-4.48493729e-03
2,300.000000,0.217241,-4.80321278e-03
2,300.000000,0.224828,-5.08969781e-03
2,300.000000,0.232414,-5.34107580e-03
2,300.000000,0.240000,-7.28653639e-03
2,337.485919,0.020000,
2,337.485919,0.027586,
2,337.485919,0.035172,
2,337.485919,0.042759,
2,337.485919,0.050345,
2,337.485919,0.057931,
2,337.485919,0.065517,-3.29427628e-02
2,337.485919,0.073103,-3.78511555e-02
2,337.485919,0.080690,-3.47520478e-02
2,337.485919,0.088276,-2.58736092e-02
2,337.485919,0.095862,-1.88028084e-02
2,337.485919,0.103448,-1.33629476e-02
2,337.485919,0.111034,-9.29150652e-03
2,337.485919,0.118621,-6.33675892e-03
2,337.485919,0.126207,-4.27877252e-03
2,337.485919,0.133793,-2.92845404e-03
2,337.485919,0.141379,-2.12546796e-03
2,337.485919,0.148966,-1.73649458e-03
2,337.485919,0.156552,-1.65258004e-03
2,337.485919,0.164138,-1.78574683e-03
2,337.485919,0.171724,-2.06556029e-03
2,337.485919,0.179310,-2.43612037e-03
2,337.485919,0.186897,-2.85363963e-03
2,337.485919,0.194483,-3.28457201e-03
2,337.485919,0.202069,-3.70415749e-03
2,337.485919,0.209655,-4.09521236e-03
2,337.485919,0.217241,-4.44700841e-03
2,337.485919,0.224828,-4.75414196e-03
2,337.485919,0.232414,-5.01536908e-03
2,337.485919,0.240000,-6.65612337e-03
2,379.655818,0.020000,
2,379.655818,0.027586,
2,379.655818,0.035172,
2,379.655818,0.042759,
2,379.655818,0.050345,
2,379.655818,0.057931,
2,379.655818,0.065517,-3.14996468e-02
2,379.655818,0.073103,-3.61758844e-02
2,379.655818,0.080690,-3.24127206e-02
2,379.655818,0.088276,-2.38361318e-02
2,379.655818,0.095862,-1.69744983e-02
2,379.655818,0.103448,-1.16747419e-02
2,379.655818,0.111034,-7.70755048e-03
2,379.655818,0.118621,-4.84752635e-03
2,379.655818,0.126207,-2.88895611e-03
2,379.655818,0.133793,-1.64773604e-03
2,379.655818,0.141379,-9.63483367e-04
2,379.655818,0.148966,-7.00297357e-04
2,379.655818,0.156552,-7.45251284e-04
2,379.655818,0.164138,-1.00562697e-03
2,379.655818,0.171724,-1.40599397e-03
2,379.655818,0.179310,-1.88571638e-03
2,379.655818,0.186897,-2.39705035e-03
2,379.655818,0.194483,-2.90374255e-03
2,379.655818,0.202069,-3.37989838e-03
2,379.655818,0.209655,-3.80885090e-03
2,379.655818,0.217241,-4.18183033e-03
2,379.655818,0.224828,-4.49638450e-03
2,379.655818,0.232414,-4.75465806e-03
2,379.655818,0.240000,-6.06512205e-03
2,427.094976,0.020000,
2,427.094976,0.027586,
2,427.094976,0.035172,
2,427.094976,0.042759,
2,427.094976,0.050345,
2,427.094976,0.057931,
2,427.094976,0.065517,-3.00960978e-02
2,427.094976,0.073103,-3.45506739e-02
2,427.094976,0.080690,-3.02369003e-02
2,427.094976,0.088276,-2.19231492e-02
2,427.094976,0.095862,-1.52347578e-02
2,427.094976,0.103448,-1.00475836e-02
2,427.094976,0.111034,-6.16838310e-03
2,427.094976,0.118621,-3.39772281e-03
2,427.094976,0.126207,-1.54201822e-03
2,427.094976,0.133793,-4.19916977e-04
2,427.094976,0.141379,1.31097082e-04
2,427.094976,0.148966,2.51650808e-04
2,427.094976,0.156552,6.09099272e-05
2,427.094976,0.164138,-3.41402106e-04
2,427.094976,0.171724,-8.72815195e-04
2,427.094976,0.179310,-1.46641350e-03
2,427.094976,0.186897,-2.06974699e-03
2,427.094976,0.194483,-2.64410729e-03
2,427.094976,0.202069,-3.16371328e-03
2,427.094976,0.209655,-3.61437553e-03
2,427.094976,0.217241,-3.99147047e-03
2,427.094976,0.224828,-4.29741239e-03
2,427.094976,0.232414,-4.53904623e-03
2,427.094976,0.240000,-5.50873017e-03
2,480.461801,0.020000,
2,480.461801,0.027586,
2,480.461801,0.035172,
2,480.461801,0.042759,
