Ma,Re_L,alpha_L,c_i,c_r,family
3,540.496975,0.050345,7.26935755e-04,3.59467946e-01,TS
3,608.033727,0.050345,3.09981290e-03,3.58755811e-01,TS
3,684.009404,0.050345,5.33828046e-03,3.57914576e-01,TS
3,769.478474,0.050345,7.44589272e-03,3.56940917e-01,TS
3,865.627167,0.050345,9.42123164e-03,3.55833386e-01,TS
3,973.789933,0.050345,1.12586133e-02,3.54592867e-01,TS
3,1095.467968,0.050345,1.29488764e-02,3.53223073e-01,TS
3,1232.350046,0.050345,1.44802714e-02,3.51730999e-01,TS
3,1386.335959,0.050345,1.58394298e-02,3.50127267e-01,TS
3,1559.562883,0.050345,1.70123628e-02,3.48426314e-01,TS
3,1754.435043,0.050345,1.79854196e-02,3.46646439e-01,TS
3,1973.657075,0.050345,1.87461550e-02,3.44809725e-01,TS
3,2220.271572,0.050345,1.92840954e-02,3.42941921e-01,TS
3,2497.701306,0.050345,1.95914516e-02,3.41072362e-01,TS
3,2809.796735,0.050345,1.96638921e-02,3.39233957e-01,TS
3,3160.889444,0.050345,1.95015550e-02,3.37463257e-01,TS
3,3555.852262,0.050345,1.91105394e-02,3.35800485e-01,TS
3,4000.166894,0.050345,1.85051447e-02,3.34289224e-01,TS
3,4500.000000,0.050345,1.77110536e-02,3.32975155e-01,TS
3,300.000000,0.057931,-1.98077691e-03,4.18034246e-01,TS
3,337.485919,0.057931,6.10009365e-04,4.17575793e-01,TS
3,379.655818,0.057931,3.01232513e-03,4.16998899e-01,TS
3,427.094976,0.057931,5.23941920e-03,4.16295689e-01,TS
3,480.461801,0.057931,7.29863621e-03,4.15460863e-01,TS
3,540.496975,0.057931,9.19184278e-03,4.14491956e-01,TS
3,608.033727,0.057931,1.09159669e-02,4.13389770e-01,TS
3,684.009404,0.057931,1.24637260e-02,4.12158930e-01,TS
3,769.478474,0.057931,1.38245900e-02,4.10808461e-01,TS
3,865.627167,0.057931,1.49859657e-02,4.09352288e-01,TS
3,973.789933,0.057931,1.59345442e-02,4.07809559e-01,TS
3,1095.467968,0.057931,1.66577350e-02,4.06204784e-01,TS
