x,y
180.000000,0.050000
240.000000,0.550000
300.000000,1.050000
400.000000,1.650000
500.000000,2.100000
600.000000,2.450000
700.000000,2.720000
800.000000,2.930000
900.000000,3.080000
1000.000000,3.180000
1100.000000,3.270000
1200.000000,3.350000
1300.000000,3.410000
1400.000000,3.470000
1600.000000,3.540000
1800.000000,3.580000
2000.000000,3.620000
