R,F_peak_x1e4,peak_omega_i,F_lower_x1e4,F_upper_x1e4
200,2.53,-0.00038,,
300,1.516,4e-05,1.334,1.72
400,1.05,0.00029,0.982,1.492
500,0.771,0.00046,0.825,1.211
600,0.612,0.00058,0.705,1.0
700,0.522,0.00067,0.635,0.844
800,0.455,0.00072,0.561,0.728
1000,0.362,0.00074,0.454,0.571
1200,0.3,0.00071,0.379,0.477
1400,0.269,0.00058,0.328,0.421
1600,0.235,0.00052,0.284,0.39
