frequency_hz,frequency_khz,x0_m,x1_m,x_left_m,x_right_m,x_left_mm,x_right_mm
264000.0,264.0,0.052075,0.13375,0.052075,0.13375,52.075,133.75
266000.0,266.0,0.052075,0.13375,0.052075,0.13375,52.075,133.75
268000.0,268.0,0.052075,0.131275,0.052075,0.131275,52.075,131.275
270000.0,270.0,0.052075,0.1288,0.052075,0.1288,52.075,128.8
272000.0,272.0,0.0496,0.126325,0.0496,0.126325,49.6,126.32499999999999
274000.0,274.0,0.0496,0.12385,0.0496,0.12385,49.6,123.85000000000001
276000.0,276.0,0.0496,0.12385,0.0496,0.12385,49.6,123.85000000000001
278000.0,278.0,0.0496,0.121375,0.0496,0.121375,49.6,121.375
280000.0,280.0,0.047125,0.1189,0.047125,0.1189,47.125,118.9
282000.0,282.0,0.047125,0.116425,0.047125,0.116425,47.125,116.425
284000.0,284.0,0.047125,0.116425,0.047125,0.116425,47.125,116.425
286000.0,286.0,0.047125,0.11395,0.047125,0.11395,47.125,113.94999999999999
288000.0,288.0,0.04465,0.111475,0.04465,0.111475,44.650000000000006,111.47500000000001
290000.0,290.0,0.04465,0.111475,0.04465,0.111475,44.650000000000006,111.47500000000001
292000.0,292.0,0.04465,0.109,0.04465,0.109,44.650000000000006,109.0
294000.0,294.0,0.04465,0.106525,0.04465,0.106525,44.650000000000006,106.52499999999999
296000.0,296.0,0.042175,0.106525,0.042175,0.106525,42.175,106.52499999999999
298000.0,298.0,0.042175,0.10405,0.042175,0.10405,42.175,104.05
300000.0,300.0,0.042175,0.10405,0.042175,0.10405,42.175,104.05
302000.0,302.0,0.042175,0.101575,0.042175,0.101575,42.175,101.575
304000.0,304.0,0.042175,0.0991,0.042175,0.0991,42.175,99.1
306000.0,306.0,0.0397,0.0991,0.0397,0.0991,39.699999999999996,99.1
308000.0,308.0,0.0397,0.096625,0.0397,0.096625,39.699999999999996,96.625
310000.0,310.0,0.0397,0.096625,0.0397,0.096625,39.699999999999996,96.625
312000.0,312.0,0.0397,0.09415,0.0397,0.09415,39.699999999999996,94.14999999999999
314000.0,314.0,0.0397,0.09415,0.0397,0.09415,39.699999999999996,94.14999999999999
316000.0,316.0,0.037225,0.091675,0.037225,0.091675,37.225,91.67500000000001
318000.0,318.0,0.037225,0.091675,0.037225,0.091675,37.225,91.67500000000001
320000.0,320.0,0.037225,0.0892,0.037225,0.0892,37.225,89.2
322000.0,322.0,0.037225,0.0892,0.037225,0.0892,37.225,89.2
324000.0,324.0,0.037225,0.086725,0.037225,0.086725,37.225,86.725
326000.0,326.0,0.037225,0.086725,0.037225,0.086725,37.225,86.725
328000.0,328.0,0.03475,0.08425,0.03475,0.08425,34.75,84.25
330000.0,330.0,0.03475,0.08425,0.03475,0.08425,34.75,84.25
332000.0,332.0,0.03475,0.08425,0.03475,0.08425,34.75,84.25
334000.0,334.0,0.03475,0.081775,0.03475,0.081775,34.75,81.775
336000.0,336.0,0.03475,0.081775,0.03475,0.081775,34.75,81.775
338000.0,338.0,0.03475,0.0793,0.03475,0.0793,34.75,79.3
340000.0,340.0,0.032275,0.0793,0.032275,0.0793,32.275,79.3
342000.0,342.0,0.032275,0.076825,0.032275,0.076825,32.275,76.825
344000.0,344.0,0.032275,0.076825,0.032275,0.076825,32.275,76.825
346000.0,346.0,0.032275,0.076825,0.032275,0.076825,32.275,76.825
348000.0,348.0,0.032275,0.07435,0.032275,0.07435,32.275,74.35
350000.0,350.0,0.032275,0.07435,0.032275,0.07435,32.275,74.35
352000.0,352.0,0.032275,0.07435,0.032275,0.07435,32.275,74.35
354000.0,354.0,0.0298,0.071875,0.0298,0.071875,29.8,71.875
356000.0,356.0,0.0298,0.071875,0.0298,0.071875,29.8,71.875
358000.0,358.0,0.0298,0.071875,0.0298,0.071875,29.8,71.875
360000.0,360.0,0.0298,0.0694,0.0298,0.0694,29.8,69.4
362000.0,362.0,0.0298,0.0694,0.0298,0.0694,29.8,69.4
364000.0,364.0,0.0298,0.0694,0.0298,0.0694,29.8,69.4
366000.0,366.0,0.0298,0.066925,0.0298,0.066925,29.8,66.925
368000.0,368.0,0.0298,0.066925,0.0298,0.066925,29.8,66.925
370000.0,370.0,0.027325,0.066925,0.027325,0.066925,27.325,66.925
372000.0,372.0,0.027325,0.06445,0.027325,0.06445,27.325,64.44999999999999
374000.0,374.0,0.027325,0.06445,0.027325,0.06445,27.325,64.44999999999999
376000.0,376.0,0.027325,0.06445,0.027325,0.06445,27.325,64.44999999999999
378000.0,378.0,0.027325,0.061975,0.027325,0.061975,27.325,61.975
380000.0,380.0,0.027325,0.061975,0.027325,0.061975,27.325,61.975
382000.0,382.0,0.027325,0.061975,0.027325,0.061975,27.325,61.975
384000.0,384.0,0.027325,0.061975,0.027325,0.061975,27.325,61.975
386000.0,386.0,0.027325,0.0595,0.027325,0.0595,27.325,59.5
388000.0,388.0,0.02485,0.0595,0.02485,0.0595,24.85,59.5
390000.0,390.0,0.02485,0.0595,0.02485,0.0595,24.85,59.5
392000.0,392.0,0.02485,0.057025,0.02485,0.057025,24.85,57.025
394000.0,394.0,0.02485,0.057025,0.02485,0.057025,24.85,57.025
396000.0,396.0,0.02485,0.057025,0.02485,0.057025,24.85,57.025
398000.0,398.0,0.02485,0.057025,0.02485,0.057025,24.85,57.025
400000.0,400.0,0.02485,0.05455,0.02485,0.05455,24.85,54.550000000000004
402000.0,402.0,0.02485,0.05455,0.02485,0.05455,24.85,54.550000000000004
404000.0,404.0,0.02485,0.05455,0.02485,0.05455,24.85,54.550000000000004
406000.0,406.0,0.02485,0.05455,0.02485,0.05455,24.85,54.550000000000004
408000.0,408.0,0.02485,0.05455,0.02485,0.05455,24.85,54.550000000000004
410000.0,410.0,0.022375,0.052075,0.022375,0.052075,22.375,52.075
412000.0,412.0,0.022375,0.052075,0.022375,0.052075,22.375,52.075
414000.0,414.0,0.022375,0.052075,0.022375,0.052075,22.375,52.075
416000.0,416.0,0.022375,0.052075,0.022375,0.052075,22.375,52.075
418000.0,418.0,0.022375,0.0496,0.022375,0.0496,22.375,49.6
420000.0,420.0,0.022375,0.0496,0.022375,0.0496,22.375,49.6
422000.0,422.0,0.022375,0.0496,0.022375,0.0496,22.375,49.6
424000.0,424.0,0.022375,0.0496,0.022375,0.0496,22.375,49.6
426000.0,426.0,0.022375,0.0496,0.022375,0.0496,22.375,49.6
428000.0,428.0,0.022375,0.047125,0.022375,0.047125,22.375,47.125
430000.0,430.0,0.022375,0.047125,0.022375,0.047125,22.375,47.125
432000.0,432.0,0.022375,0.047125,0.022375,0.047125,22.375,47.125
434000.0,434.0,0.0199,0.047125,0.0199,0.047125,19.900000000000002,47.125
436000.0,436.0,0.0199,0.047125,0.0199,0.047125,19.900000000000002,47.125
438000.0,438.0,0.0199,0.04465,0.0199,0.04465,19.900000000000002,44.650000000000006
440000.0,440.0,0.0199,0.04465,0.0199,0.04465,19.900000000000002,44.650000000000006
442000.0,442.0,0.0199,0.04465,0.0199,0.04465,19.900000000000002,44.650000000000006
444000.0,444.0,0.0199,0.04465,0.0199,0.04465,19.900000000000002,44.650000000000006
446000.0,446.0,0.0199,0.04465,0.0199,0.04465,19.900000000000002,44.650000000000006
448000.0,448.0,0.0199,0.04465,0.0199,0.04465,19.900000000000002,44.650000000000006
450000.0,450.0,0.0199,0.042175,0.0199,0.042175,19.900000000000002,42.175
452000.0,452.0,0.0199,0.042175,0.0199,0.042175,19.900000000000002,42.175
454000.0,454.0,0.0199,0.042175,0.0199,0.042175,19.900000000000002,42.175
456000.0,456.0,0.0199,0.042175,0.0199,0.042175,19.900000000000002,42.175
458000.0,458.0,0.0199,0.042175,0.0199,0.042175,19.900000000000002,42.175
460000.0,460.0,0.0199,0.042175,0.0199,0.042175,19.900000000000002,42.175
462000.0,462.0,0.0199,0.0397,0.0199,0.0397,19.900000000000002,39.699999999999996
464000.0,464.0,0.017425,0.0397,0.017425,0.0397,17.425,39.699999999999996
466000.0,466.0,0.017425,0.0397,0.017425,0.0397,17.425,39.699999999999996
468000.0,468.0,0.017425,0.0397,0.017425,0.0397,17.425,39.699999999999996
470000.0,470.0,0.017425,0.0397,0.017425,0.0397,17.425,39.699999999999996
