Ma,Re_L,alpha_L,c_i
3,480.461801,0.232414,-1.38499306e-03
3,480.461801,0.240000,-1.57835519e-03
3,540.496975,0.020000,
3,540.496975,0.027586,-2.55554962e-02
3,540.496975,0.035172,-4.41671707e-02
3,540.496975,0.042759,-1.75711658e-02
3,540.496975,0.050345,7.26935755e-04
3,540.496975,0.057931,9.19184278e-03
3,540.496975,0.065517,-2.78376402e-02
3,540.496975,0.073103,-2.81060844e-02
3,540.496975,0.080690,-1.29688147e-02
3,540.496975,0.088276,-1.04744996e-02
3,540.496975,0.095862,-5.83810465e-03
3,540.496975,0.103448,-2.56680591e-03
3,540.496975,0.111034,-2.28958352e-04
3,540.496975,0.118621,1.32475833e-03
3,540.496975,0.126207,2.17411779e-03
3,540.496975,0.133793,2.41842155e-03
3,540.496975,0.141379,2.20213741e-03
3,540.496975,0.148966,1.70098329e-03
3,540.496975,0.156552,1.08450403e-03
3,540.496975,0.164138,-2.31712599e-03
3,540.496975,0.171724,-1.58780846e-03
3,540.496975,0.179310,-1.04346200e-03
3,540.496975,0.186897,-6.87961038e-04
3,540.496975,0.194483,-5.17105537e-04
3,540.496975,0.202069,-5.09680543e-04
3,540.496975,0.209655,-6.26599141e-04
3,540.496975,0.217241,-8.18834008e-04
3,540.496975,0.224828,-1.03964654e-03
3,540.496975,0.232414,-1.25435457e-03
3,540.496975,0.240000,-1.44357432e-03
3,608.033727,0.020000,
3,608.033727,0.027586,-2.48785175e-02
3,608.033727,0.035172,-4.27180112e-02
3,608.033727,0.042759,-1.45798420e-02
3,608.033727,0.050345,3.09981290e-03
3,608.033727,0.057931,1.09159669e-02
3,608.033727,0.065517,-2.67965009e-02
3,608.033727,0.073103,-2.63226488e-02
3,608.033727,0.080690,-1.22963844e-02
3,608.033727,0.088276,-9.55767103e-03
3,608.033727,0.095862,-5.04775144e-03
3,608.033727,0.103448,-1.81450426e-03
3,608.033727,0.111034,4.88748145e-04
3,608.033727,0.118621,1.96179170e-03
3,608.033727,0.126207,2.67169729e-03
3,608.033727,0.133793,2.73890721e-03
3,608.033727,0.141379,2.35108278e-03
3,608.033727,0.148966,1.72583508e-03
3,608.033727,0.156552,1.05176751e-03
3,608.033727,0.164138,-1.84302534e-03
3,608.033727,0.171724,-1.12548760e-03
3,608.033727,0.179310,-6.11607825e-04
3,608.033727,0.186897,-3.09708198e-04
3,608.033727,0.194483,-2.10863208e-04
3,608.033727,0.202069,-2.80461901e-04
3,608.033727,0.209655,-4.63064527e-04
3,608.033727,0.217241,-6.98032896e-04
3,608.033727,0.224828,-9.36139600e-04
3,608.033727,0.232414,-1.14797505e-03
3,608.033727,0.240000,-1.32251118e-03
3,684.009404,0.020000,
3,684.009404,0.027586,-2.41625242e-02
3,684.009404,0.035172,-4.12524975e-02
3,684.009404,0.042759,-1.17645541e-02
3,684.009404,0.050345,5.33828046e-03
3,684.009404,0.057931,1.24637260e-02
3,684.009404,0.065517,-2.57662675e-02
3,684.009404,0.073103,-2.46800261e-02
3,684.009404,0.080690,-1.16576328e-02
3,684.009404,0.088276,-8.69822941e-03
3,684.009404,0.095862,-4.28745715e-03
3,684.009404,0.103448,-1.07926624e-03
3,684.009404,0.111034,1.18372801e-03
3,684.009404,0.118621,2.55271508e-03
3,684.009404,0.126207,3.09167102e-03
3,684.009404,0.133793,2.95957070e-03
3,684.009404,0.141379,2.40181435e-03
3,684.009404,0.148966,1.67858538e-03
3,684.009404,0.156552,9.83659639e-04
3,684.009404,0.164138,-1.38741607e-03
3,684.009404,0.171724,-6.86397493e-04
3,684.009404,0.179310,-2.14218504e-04
3,684.009404,0.186897,1.91760503e-05
3,684.009404,0.194483,3.37449387e-05
3,684.009404,0.202069,-1.16031098e-04
3,684.009404,0.209655,-3.56212835e-04
3,684.009404,0.217241,-6.18246292e-04
3,684.009404,0.224828,-8.56935407e-04
3,684.009404,0.232414,-1.05313140e-03
3,684.009404,0.240000,-1.20579209e-03
3,769.478474,0.020000,
3,769.478474,0.027586,-2.34180975e-02
3,769.478474,0.035172,-3.80216033e-02
3,769.478474,0.042759,-9.09486707e-03
3,769.478474,0.050345,7.44589272e-03
3,769.478474,0.057931,1.38245900e-02
3,769.478474,0.065517,-2.47506132e-02
3,769.478474,0.073103,-2.31641183e-02
3,769.478474,0.080690,-1.10503737e-02
3,769.478474,0.088276,-7.88814020e-03
3,769.478474,0.095862,-3.55094571e-03
3,769.478474,0.103448,-3.58309239e-04
3,769.478474,0.111034,1.85254536e-03
3,769.478474,0.118621,3.08704046e-03
3,769.478474,0.126207,3.42144487e-03
3,769.478474,0.133793,3.07531285e-03
3,769.478474,0.141379,2.36404023e-03
3,769.478474,0.148966,1.58163652e-03
3,769.478474,0.156552,9.05117310e-04
3,769.478474,0.164138,-9.48788393e-04
3,769.478474,0.171724,-2.72159138e-04
3,769.478474,0.179310,1.43551377e-04
3,769.478474,0.186897,2.92149075e-04
3,769.478474,0.194483,2.13273108e-04
3,769.478474,0.202069,-1.27449943e-05
3,769.478474,0.209655,-2.95047502e-04
3,769.478474,0.217241,-5.64805299e-04
3,769.478474,0.224828,-7.88321989e-04
3,769.478474,0.232414,-9.59844967e-04
3,769.478474,0.240000,-1.08762901e-03
3,865.627167,0.020000,
3,865.627167,0.027586,-2.26541764e-02
3,865.627167,0.035172,-3.48737489e-02
3,865.627167,0.042759,-6.54701583e-03
3,865.627167,0.050345,9.42123164e-03
3,865.627167,0.057931,1.49859657e-02
3,865.627167,0.065517,-2.37525384e-02
3,865.627167,0.073103,-2.17625423e-02
3,865.627167,0.080690,-1.04725464e-02
3,865.627167,0.088276,-7.12014929e-03
3,865.627167,0.095862,-2.83271860e-03
3,865.627167,0.103448,3.49653287e-04
3,865.627167,0.111034,2.48918058e-03
3,865.627167,0.118621,3.55207953e-03
3,865.627167,0.126207,3.64975806e-03
3,865.627167,0.133793,3.08757712e-03
3,865.627167,0.141379,2.25615247e-03
3,865.627167,0.148966,1.46175368e-03
3,865.627167,0.156552,8.38388135e-04
3,865.627167,0.164138,-5.26858205e-04
3,865.627167,0.171724,1.13731092e-04
3,865.627167,0.179310,4.54908217e-04
3,865.627167,0.186897,5.03024366e-04
3,865.627167,0.194483,3.27676746e-04
3,865.627167,0.202069,3.81340042e-05
3,865.627167,0.209655,-2.64896481e-04
3,865.627167,0.217241,-5.22812528e-04
3,865.627167,0.224828,-7.19306848e-04
3,865.627167,0.232414,-8.62029343e-04
3,865.627167,0.240000,-8.20851660e-04
3,973.789933,0.020000,
3,973.789933,0.027586,-2.18783049e-02
3,973.789933,0.035172,-3.19430128e-02
3,973.789933,0.042759,-4.10334008e-03
3,973.789933,0.050345,1.12586133e-02
3,973.789933,0.057931,1.59345442e-02
3,973.789933,0.065517,-2.27745200e-02
3,973.789933,0.073103,-2.04643407e-02
3,973.789933,0.080690,-9.92230610e-03
3,973.789933,0.088276,-6.38763175e-03
3,973.789933,0.095862,-2.12805459e-03
3,973.789933,0.103448,1.04419115e-03
3,973.789933,0.111034,3.08489286e-03
3,973.789933,0.118621,3.93387475e-03
3,973.789933,0.126207,3.76897770e-03
3,973.789933,0.133793,3.00643401e-03
3,973.789933,0.141379,2.10401149e-03
3,973.789933,0.148966,1.34555557e-03
3,973.789933,0.156552,7.99257121e-04
3,973.789933,0.164138,-1.22829976e-04
3,973.789933,0.171724,4.65777771e-04
3,973.789933,0.179310,7.12064745e-04
3,973.789933,0.186897,6.47601082e-04
3,973.789933,0.194483,3.81865067e-04
3,973.789933,0.202069,5.01856727e-05
3,973.789933,0.209655,-2.49695757e-04
3,973.789933,0.217241,-4.79758850e-04
3,973.789933,0.224828,-6.43049823e-04
3,973.789933,0.232414,-6.58460002e-04
3,973.789933,0.240000,-5.96858563e-04
3,1095.467968,0.020000,
3,1095.467968,0.027586,-2.10968463e-02
3,1095.467968,0.035172,-2.91972244e-02
3,1095.467968,0.042759,-1.75178909e-03
3,1095.467968,0.050345,1.29488764e-02
3,1095.467968,0.057931,1.66577350e-02
3,1095.467968,0.065517,1.42434357e-02
3,1095.467968,0.073103,-1.92597404e-02
3,1095.467968,0.080690,-9.39811463e-03
3,1095.467968,0.088276,-5.68448234e-03
3,1095.467968,0.095862,-1.43306958e-03
3,1095.467968,0.103448,1.72287332e-03
3,1095.467968,0.111034,3.62829081e-03
3,1095.467968,0.118621,4.21864238e-03
3,1095.467968,0.126207,3.77765004e-03
3,1095.467968,0.133793,2.85148070e-03
3,1095.467968,0.141379,1.93738516e-03
3,1095.467968,0.148966,1.25463786e-03
3,1095.467968,0.156552,7.95194543e-04
3,1095.467968,0.164138,2.60335574e-04
3,1095.467968,0.171724,7.76597932e-04
3,1095.467968,0.179310,9.07403765e-04
3,1095.467968,0.186897,7.25553646e-04
3,1095.467968,0.194483,3.86446400e-04
3,1095.467968,0.202069,4.00651925e-05
3,1095.467968,0.209655,-2.34916769e-04
3,1095.467968,0.217241,-4.27405320e-04
3,1095.467968,0.224828,-5.57101586e-04
3,1095.467968,0.232414,-4.19333846e-04
3,1095.467968,0.240000,-4.23170654e-04
3,1232.350046,0.020000,
3,1232.350046,0.027586,-2.03151586e-02
3,1232.350046,0.035172,-2.66084396e-02
3,1232.350046,0.042759,5.14552020e-04
3,1232.350046,0.050345,1.44802714e-02
3,1232.350046,0.057931,1.71451445e-02
3,1232.350046,0.065517,1.38750966e-02
3,1232.350046,0.073103,-1.81399673e-02
3,1232.350046,0.080690,-8.89880072e-03
3,1232.350046,0.088276,-5.00505502e-03
3,1232.350046,0.095862,-7.44846234e-04
3,1232.350046,0.103448,2.38095214e-03
3,1232.350046,0.111034,4.10572361e-03
3,1232.350046,0.118621,4.39471734e-03
3,1232.350046,0.126207,3.68290005e-03
3,1232.350046,0.133793,2.65067145e-03
3,1232.350046,0.141379,1.78464530e-03
3,1232.350046,0.148966,1.20209937e-03
3,1232.350046,0.156552,8.25777318e-04
3,1232.350046,0.164138,6.17709381e-04
3,1232.350046,0.171724,1.03740837e-03
3,1232.350046,0.179310,1.03516692e-03
3,1232.350046,0.186897,7.42112093e-04
3,1232.350046,0.194483,3.57030584e-04
3,1232.350046,0.202069,2.45280893e-05
3,1232.350046,0.209655,-2.10071257e-04
3,1232.350046,0.217241,-3.62365501e-04
3,1232.350046,0.224828,-3.16866000e-04
3,1232.350046,0.232414,-2.26712053e-04
3,1232.350046,0.240000,-3.00717357e-04
3,1386.335959,0.020000,
3,1386.335959,0.027586,-1.95377291e-02
3,1386.335959,0.035172,-2.41522839e-02
3,1386.335959,0.042759,2.69795080e-03
3,1386.335959,0.050345,1.58394298e-02
3,1386.335959,0.057931,1.73901137e-02
3,1386.335959,0.065517,1.33271630e-02
3,1386.335959,0.073103,-1.70971232e-02
3,1386.335959,0.080690,-8.42357047e-03
3,1386.335959,0.088276,-4.34415263e-03
3,1386.335959,0.095862,-6.16357144e-05
3,1386.335959,0.103448,3.01108251e-03
3,1386.335959,0.111034,4.50208578e-03
3,1386.335959,0.118621,4.45491527e-03
3,1386.335959,0.126207,3.50200332e-03
3,1386.335959,0.133793,2.43654637e-03
3,1386.335959,0.141379,1.66742316e-03
3,1386.335959,0.148966,1.19160641e-03
3,1386.335959,0.156552,8.84748453e-04
3,1386.335959,0.164138,9.42325703e-04
3,1386.335959,0.171724,1.23901202e-03
3,1386.335959,0.179310,1.09348934e-03
3,1386.335959,0.186897,7.08830768e-04
3,1386.335959,0.194483,3.11851065e-04
3,1386.335959,0.202069,1.72457929e-05
3,1386.335959,0.209655,-1.69920573e-04
3,1386.335959,0.217241,-2.85469563e-04
3,1386.335959,0.224828,-9.82544369e-05
3,1386.335959,0.232414,-8.46177892e-05
3,1386.335959,0.240000,-2.26831516e-04
3,1559.562883,0.020000,
3,1559.562883,0.027586,-1.87682681e-02
3,1559.562883,0.035172,-2.18074503e-02
3,1559.562883,0.042759,4.79655385e-03
3,1559.562883,0.050345,1.70123628e-02
3,1559.562883,0.057931,1.73914150e-02
3,1559.562883,0.065517,1.26493013e-02
3,1559.562883,0.073103,-1.61241194e-02
3,1559.562883,0.080690,-7.97196522e-03
3,1559.562883,0.088276,-3.69705935e-03
3,1559.562883,0.095862,6.16876574e-04
3,1559.562883,0.103448,3.60317513e-03
3,1559.562883,0.111034,4.80208996e-03
3,1559.562883,0.118621,4.39911945e-03
3,1559.562883,0.126207,3.26218694e-03
3,1559.562883,0.133793,2.24036340e-03
3,1559.562883,0.141379,1.59724114e-03
3,1559.562883,0.148966,1.21886890e-03
3,1559.562883,0.156552,9.62693220e-04
3,1559.562883,0.164138,1.22537256e-03
3,1559.562883,0.171724,1.37334154e-03
3,1559.562883,0.179310,1.08634006e-03
3,1559.562883,0.186897,6.42735800e-04
3,1559.562883,0.194483,2.68255269e-04
3,1559.562883,0.202069,2.66159438e-05
3,1559.562883,0.209655,-1.14203182e-04
3,1559.562883,0.217241,-7.56085484e-05
3,1559.562883,0.224828,7.53146319e-05
3,1559.562883,0.232414,5.41924796e-06
3,1559.562883,0.240000,-1.94431122e-04
3,1754.435043,0.020000,
3,1754.435043,0.027586,-1.80097746e-02
3,1754.435043,0.035172,-1.95553397e-02
3,1754.435043,0.042759,6.80496443e-03
3,1754.435043,0.050345,1.79854196e-02
3,1754.435043,0.057931,1.71552636e-02
3,1754.435043,0.065517,1.19060415e-02
3,1754.435043,0.073103,-1.52146481e-02
3,1754.435043,0.080690,-7.54377947e-03
3,1754.435043,0.088276,-3.05960226e-03
3,1754.435043,0.095862,1.28926085e-03
3,1754.435043,0.103448,4.14449507e-03
3,1754.435043,0.111034,4.99201337e-03
3,1754.435043,0.118621,4.23670870e-03
3,1754.435043,0.126207,2.99774121e-03
3,1754.435043,0.133793,2.08598309e-03
3,1754.435043,0.141379,1.57518113e-03
3,1754.435043,0.148966,1.27447681e-03
3,1754.435043,0.156552,1.04952563e-03
3,1754.435043,0.164138,1.45677156e-03
