lobe,Re,alpha,mode
upper,700,0.0252,first
upper,750,0.0272,first
upper,800,0.0273,first
upper,850,0.027,first
upper,900,0.0266,first
upper,950,0.0262,first
upper,1000,0.0257,first
upper,1050,0.0253,first
upper,1100,0.0248,first
upper,1150,0.0244,first
upper,1200,0.0266,first
upper,1250,0.0235,first
upper,1300,0.0231,first
upper,1350,0.0227,first
upper,1400,0.0223,first
upper,1450,0.0219,first
upper,1500,0.0216,first
upper,1550,0.0213,first
upper,1600,0.0209,first
upper,1650,0.0206,first
upper,1700,0.0203,first
upper,1750,0.0201,first
upper,1800,0.0198,first
upper,1850,0.0209,first
upper,1900,0.0194,first
upper,1950,0.0192,first
upper,2000,0.0189,first
upper,2500,0.0368,first
upper,2550,0.0376,first
upper,2600,0.0383,first
upper,2650,0.0391,first
upper,2700,0.0396,first
upper,2750,0.04,first
upper,2800,0.0404,first
upper,2850,0.0407,first
upper,2900,0.0411,first
upper,2950,0.0414,first
upper,3000,0.0418,first
upper,3050,0.042,first
upper,3100,0.0423,first
upper,3150,0.0424,first
upper,3200,0.0427,first
upper,3250,0.043,first
upper,3300,0.0431,first
upper,3350,0.0432,first
upper,3400,0.0435,first
upper,3450,0.0436,first
upper,3500,0.0438,first
upper,3550,0.044,first
upper,3600,0.0441,first
upper,3650,0.0443,first
upper,3700,0.0444,first
upper,3750,0.0445,first
upper,3800,0.0446,first
upper,3850,0.0448,first
upper,3900,0.0449,first
upper,3950,0.045,first
upper,4000,0.0452,first
upper,4050,0.0453,first
upper,4100,0.0453,first
upper,4150,0.0454,first
upper,4200,0.0456,first
upper,4250,0.0457,first
upper,4300,0.0458,first
upper,4350,0.0458,first
upper,4400,0.0459,first
upper,4450,0.0461,first
upper,4500,0.0461,first
upper,4550,0.0462,first
upper,4600,0.0463,first
upper,4650,0.0463,first
upper,4700,0.0465,first
upper,4750,0.0466,first
upper,4800,0.0466,first
upper,4850,0.0467,first
upper,4900,0.0467,first
lower,700,0.0252,first
lower,750,0.0213,first
lower,800,0.0192,first
lower,850,0.0177,first
lower,900,0.0164,first
lower,950,0.0155,first
lower,1000,0.0145,first
lower,1050,0.0137,first
lower,1100,0.0131,first
lower,1150,0.0124,first
lower,1200,0.0119,first
lower,1250,0.0114,first
lower,1300,0.0109,first
lower,1350,0.0105,first
lower,1400,0.0101,first
lower,1450,0.0097,first
lower,1500,0.0093,first
lower,1550,0.009,first
lower,1600,0.0086,first
lower,1650,0.0084,first
lower,1700,0.0081,first
lower,1750,0.0079,first
lower,1800,0.0076,first
lower,1850,0.0075,first
lower,1900,0.0072,first
lower,1950,0.0071,first
lower,2000,0.0068,first
lower,2050,0.0067,first
lower,2100,0.0064,first
lower,2150,0.0063,first
lower,2200,0.006,first
lower,2250,0.0058,first
lower,2300,0.0057,first
lower,2350,0.0055,first
lower,2400,0.0053,first
lower,2450,0.0051,first
lower,2500,0.005,first
lower,2550,0.0049,first
lower,2600,0.0049,first
lower,2650,0.0047,first
lower,2700,0.0046,first
lower,2750,0.0045,first
lower,2800,0.0045,first
lower,2850,0.0044,first
lower,2900,0.0044,first
lower,2950,0.0042,first
lower,3000,0.0042,first
lower,3050,0.0041,first
lower,3100,0.004,first
lower,3150,0.004,first
lower,3200,0.004,first
lower,3250,0.0038,first
lower,3300,0.0038,first
lower,3350,0.0038,first
lower,3400,0.0037,first
lower,3450,0.0036,first
lower,3500,0.0036,first
lower,3550,0.0036,first
lower,3600,0.0034,first
lower,3650,0.0034,first
lower,3700,0.0034,first
lower,3750,0.0033,first
lower,3800,0.0033,first
lower,3850,0.0032,first
lower,3900,0.0032,first
lower,3950,0.0032,first
lower,4000,0.0032,first
lower,4050,0.0031,first
lower,4100,0.0031,first
lower,4150,0.0031,first
lower,4200,0.003,first
lower,4250,0.0029,first
lower,4300,0.0029,first
lower,4350,0.0029,first
lower,4400,0.0028,first
lower,4450,0.0028,first
lower,4500,0.0028,first
lower,4550,0.0028,first
lower,4600,0.0028,first
lower,4650,0.0027,first
lower,4700,0.0027,first
lower,4750,0.0027,first
lower,4800,0.0027,first
lower,4850,0.0025,first
lower,4900,0.0025,first
lower,4950,0.0025,first
