lobe,Re,alpha,mode
upper,180,0.0781,second
upper,360,0.1028,second
upper,540,0.1199,second
upper,720,0.1329,second
upper,900,0.1433,second
upper,1260,0.1569,second
upper,1440,0.1614,second
upper,1620,0.1653,second
upper,1800,0.1689,second
upper,2160,0.1744,second
upper,2520,0.1783,second
upper,2880,0.1815,second
upper,3120,0.1974,second
upper,3360,0.2023,second
upper,3720,0.2042,second
upper,4080,0.2055,second
upper,4440,0.2068,second
upper,4800,0.2075,second
upper,5000,0.2075,second
lower,800,0.1044,second
lower,1000,0.1089,second
lower,1200,0.1128,second
lower,1500,0.1173,second
lower,1800,0.1212,second
lower,2200,0.1245,second
lower,2600,0.1271,second
lower,3000,0.129,second
lower,3400,0.1303,second
lower,3800,0.1316,second
lower,4200,0.1329,second
lower,4600,0.1335,second
lower,5000,0.1342,second
upper,900,0.0843,first
upper,1100,0.0862,first
upper,1300,0.0875,first
upper,1600,0.0895,first
upper,2000,0.0908,first
upper,2400,0.0917,first
upper,2800,0.0927,first
upper,3200,0.093,first
upper,3600,0.0934,first
upper,4000,0.094,first
upper,4400,0.094,first
upper,4800,0.0943,first
upper,5000,0.0947,first
lower,900,0.0486,first
lower,1050,0.0337,first
lower,1200,0.0259,first
lower,1400,0.0207,first
lower,1600,0.0169,first
lower,1900,0.0136,first
lower,2200,0.0117,first
lower,2600,0.0091,first
lower,3000,0.0044,first
lower,3500,0.0065,first
lower,4000,0.0039,first
lower,4500,0.0052,first
lower,5000,0.0045,first
