lobe,Re,alpha,mode
upper,180,0.153,second
upper,200,0.163,second
upper,220,0.1686,second
upper,240,0.1734,second
upper,260,0.176,second
upper,280,0.1786,second
upper,300,0.1809,second
upper,320,0.1825,second
upper,340,0.1841,second
upper,360,0.1857,second
upper,380,0.1867,second
upper,400,0.188,second
upper,420,0.1893,second
upper,440,0.19,second
upper,460,0.1906,second
upper,480,0.1912,second
upper,500,0.1919,second
upper,520,0.1925,second
upper,540,0.2006,second
upper,560,0.2065,second
upper,580,0.201,second
upper,600,0.1955,second
upper,620,0.1951,second
upper,640,0.1958,second
upper,660,0.1958,second
upper,680,0.1964,second
upper,700,0.1964,second
upper,750,0.1971,second
upper,800,0.1977,second
upper,850,0.1984,second
upper,900,0.199,second
upper,950,0.1997,second
upper,1000,0.1997,second
upper,1050,0.2003,second
upper,1100,0.2003,second
upper,1150,0.201,second
upper,1200,0.201,second
upper,1250,0.201,second
upper,1300,0.2016,second
upper,1350,0.2016,second
upper,1400,0.2016,second
upper,1450,0.2003,second
upper,1500,0.2023,second
upper,1550,0.2023,second
upper,1600,0.2023,second
upper,1650,0.2023,second
upper,1700,0.2029,second
upper,1750,0.2029,second
upper,1800,0.2029,second
upper,1850,0.2029,second
upper,1900,0.2029,second
upper,1950,0.2029,second
upper,2000,0.2032,second
upper,2050,0.2036,second
upper,2100,0.2036,second
upper,2150,0.2036,second
upper,2200,0.2036,second
upper,2250,0.2016,second
upper,2300,0.2036,second
upper,2350,0.2036,second
upper,2400,0.2036,second
upper,2450,0.2036,second
upper,2500,0.2039,second
upper,2550,0.2042,second
upper,2600,0.2042,second
upper,2650,0.2042,second
upper,2700,0.2042,second
upper,2750,0.2042,second
upper,2800,0.2042,second
upper,2850,0.2042,second
upper,2900,0.2042,second
upper,2950,0.2042,second
upper,3000,0.2042,second
upper,3050,0.2042,second
upper,3100,0.2042,second
upper,3150,0.2042,second
upper,3200,0.2042,second
upper,3250,0.2042,second
upper,3300,0.2045,second
upper,3350,0.2045,second
upper,3400,0.2045,second
upper,3450,0.2045,second
upper,3500,0.2049,second
upper,3550,0.2049,second
upper,3600,0.2049,second
upper,3650,0.2049,second
upper,3700,0.2049,second
upper,3750,0.2049,second
upper,3800,0.2049,second
upper,3850,0.2049,second
upper,3900,0.2049,second
upper,3950,0.2049,second
upper,4000,0.2049,second
upper,4050,0.2049,second
upper,4100,0.2049,second
upper,4150,0.2049,second
upper,4200,0.2049,second
upper,4250,0.2049,second
upper,4300,0.2049,second
upper,4350,0.2049,second
upper,4400,0.2049,second
upper,4450,0.2049,second
upper,4500,0.2049,second
upper,4550,0.2049,second
upper,4600,0.2049,second
upper,4650,0.2049,second
upper,4700,0.2049,second
upper,4750,0.2049,second
upper,4800,0.2049,second
upper,4850,0.2049,second
upper,4900,0.2049,second
upper,4950,0.2049,second
lower,850,0.048,first
lower,900,0.0386,first
lower,950,0.0337,first
lower,1000,0.0301,first
lower,1050,0.0279,first
lower,1100,0.0253,first
lower,1150,0.0233,first
lower,1200,0.022,first
lower,1250,0.0207,first
lower,1300,0.0194,first
lower,1350,0.0188,first
lower,1400,0.0175,first
lower,1450,0.0169,first
lower,1500,0.0162,first
lower,1550,0.0156,first
lower,1600,0.0149,first
lower,1650,0.0143,first
lower,1700,0.0136,first
lower,1750,0.013,first
lower,1800,0.013,first
lower,1850,0.0123,first
lower,1900,0.0123,first
lower,1950,0.0117,first
lower,2000,0.011,first
lower,2050,0.011,first
lower,2100,0.0107,first
lower,2150,0.0104,first
lower,2200,0.0104,first
lower,2250,0.0097,first
lower,2300,0.0097,first
lower,2350,0.0094,first
lower,2400,0.0091,first
lower,2450,0.0091,first
lower,2500,0.0091,first
lower,2550,0.0084,first
lower,2600,0.0084,first
lower,2650,0.0084,first
lower,2700,0.0081,first
lower,2750,0.0081,first
lower,2800,0.0081,first
lower,2850,0.0081,first
lower,2900,0.022,first
lower,2950,0.0214,first
lower,3000,0.0214,first
lower,3050,0.0214,first
lower,3100,0.0214,first
lower,3150,0.0211,first
lower,3200,0.0207,first
lower,3250,0.0207,first
lower,3300,0.0207,first
lower,3350,0.0207,first
lower,3400,0.0201,first
lower,3450,0.0201,first
lower,3500,0.0201,first
lower,3550,0.0201,first
lower,3600,0.0201,first
lower,3650,0.0198,first
lower,3700,0.0194,first
lower,3750,0.0194,first
lower,3800,0.0194,first
lower,3850,0.0194,first
lower,3900,0.0194,first
lower,3950,0.0194,first
lower,4000,0.0188,first
lower,4050,0.0188,first
lower,4100,0.0188,first
lower,4150,0.0188,first
lower,4200,0.0188,first
lower,4250,0.0188,first
lower,4300,0.0188,first
lower,4350,0.0188,first
lower,4400,0.0188,first
lower,4450,0.0182,first
lower,4500,0.0182,first
lower,4550,0.0182,first
lower,4600,0.0182,first
lower,4650,0.0182,first
lower,4700,0.0182,first
lower,4750,0.0182,first
lower,4800,0.0182,first
lower,4850,0.0182,first
lower,4900,0.0182,first
lower,4950,0.0182,first
