lobe,Re,alpha,mode
upper,200,0.1198,second
upper,400,0.1337,second
upper,700,0.1443,second
upper,1000,0.1565,second
upper,1500,0.1638,second
upper,2000,0.1696,second
upper,2700,0.175,second
upper,3300,0.1759,second
upper,4000,0.1784,second
upper,4600,0.1793,second
upper,5000,0.1798,second
lower,240,0.0994,second
lower,440,0.0984,second
lower,700,0.0962,second
lower,1000,0.0953,second
lower,1500,0.0953,second
lower,2000,0.0957,second
lower,2700,0.0962,second
lower,3300,0.0962,second
lower,4000,0.0967,second
lower,4600,0.0967,second
lower,5000,0.0967,second
upper,200,0.087,first
upper,400,0.0865,first
upper,700,0.087,first
upper,1000,0.088,first
upper,1500,0.0885,first
upper,2000,0.0889,first
upper,2700,0.0899,first
upper,3300,0.0904,first
upper,4000,0.0909,first
upper,4600,0.0909,first
upper,5000,0.0914,first
lower,840,0.0418,first
lower,940,0.035,first
lower,1100,0.0258,first
lower,1300,0.0199,first
lower,1600,0.0151,first
lower,2000,0.0112,first
lower,2600,0.0083,first
lower,3200,0.0063,first
lower,4000,0.0049,first
lower,4600,0.0044,first
lower,5000,0.0039,first
