lobe,Re,alpha,mode
lower,1250,0.0357,first
lower,1300,0.0309,first
lower,1350,0.0276,first
lower,1400,0.025,first
lower,1450,0.0237,first
lower,1500,0.0218,first
lower,1550,0.0205,first
lower,1600,0.0192,first
lower,1650,0.0179,first
lower,1700,0.0172,first
lower,1750,0.0166,first
lower,1800,0.0153,first
lower,1850,0.0146,first
lower,1900,0.014,first
lower,1950,0.0136,first
lower,2000,0.0133,first
lower,2050,0.0127,first
lower,2100,0.012,first
lower,2150,0.012,first
lower,2200,0.0114,first
lower,2250,0.0114,first
lower,2300,0.0107,first
lower,2350,0.0107,first
lower,2400,0.0101,first
lower,2450,0.0101,first
lower,2500,0.0094,first
lower,2550,0.0094,first
lower,2600,0.0088,first
lower,2650,0.0088,first
lower,2700,0.0088,first
lower,2750,0.0088,first
lower,2800,0.0084,first
lower,2850,0.0084,first
lower,2900,0.0084,first
lower,2950,0.0084,first
lower,3000,0.0211,first
lower,3050,0.0211,first
lower,3100,0.0205,first
lower,3150,0.0205,first
lower,3200,0.0205,first
lower,3250,0.0205,first
lower,3300,0.0201,first
lower,3350,0.0198,first
lower,3400,0.0198,first
lower,3450,0.0198,first
lower,3500,0.0198,first
lower,3550,0.0195,first
lower,3600,0.0192,first
lower,3650,0.0192,first
lower,3700,0.0192,first
lower,3750,0.0192,first
lower,3800,0.0192,first
lower,3850,0.0185,first
lower,3900,0.0185,first
lower,3950,0.0185,first
lower,4000,0.0185,first
lower,4050,0.0185,first
lower,4100,0.0185,first
lower,4150,0.0185,first
lower,4200,0.0179,first
lower,4250,0.0179,first
lower,4300,0.0179,first
lower,4350,0.0179,first
lower,4400,0.0179,first
lower,4450,0.0179,first
lower,4500,0.0179,first
lower,4550,0.0179,first
lower,4600,0.0179,first
lower,4650,0.0179,first
lower,4700,0.0172,first
lower,4750,0.0172,first
lower,4800,0.0172,first
lower,4850,0.0172,first
lower,4900,0.0172,first
lower,4950,0.0172,first
upper,1250,0.0487,first
upper,1300,0.0512,first
upper,1350,0.0556,first
upper,1400,0.0575,first
upper,1450,0.0588,first
upper,1500,0.0601,first
upper,1550,0.0627,first
upper,1600,0.0627,first
upper,1650,0.0634,first
upper,1700,0.0647,first
upper,1750,0.0653,first
upper,1800,0.066,first
upper,1850,0.0673,first
upper,1900,0.0673,first
upper,1950,0.0679,first
upper,2000,0.0686,first
upper,2050,0.0692,first
upper,2100,0.0699,first
upper,2150,0.0702,first
upper,2200,0.0705,first
upper,2250,0.0712,first
upper,2300,0.0718,first
upper,2350,0.0718,first
upper,2400,0.0721,first
upper,2450,0.0725,first
upper,2500,0.0731,first
upper,2550,0.0731,first
upper,2600,0.0731,first
upper,2650,0.0738,first
upper,2700,0.0744,first
upper,2750,0.0744,first
upper,2800,0.0744,first
upper,2850,0.0751,first
upper,2900,0.0751,first
upper,2950,0.0751,first
upper,3000,0.0757,first
upper,3050,0.0757,first
upper,3100,0.076,first
upper,3150,0.0764,first
upper,3200,0.0764,first
upper,3250,0.0764,first
upper,3300,0.0764,first
upper,3350,0.077,first
upper,3400,0.077,first
upper,3450,0.077,first
upper,3500,0.0773,first
upper,3550,0.0777,first
upper,3600,0.0777,first
upper,3650,0.0777,first
upper,3700,0.0777,first
upper,3750,0.0777,first
upper,3800,0.0783,first
upper,3850,0.0783,first
upper,3900,0.0783,first
upper,3950,0.0783,first
upper,4000,0.0783,first
upper,4050,0.079,first
upper,4100,0.079,first
upper,4150,0.079,first
upper,4200,0.079,first
upper,4250,0.079,first
upper,4300,0.079,first
upper,4350,0.0796,first
upper,4400,0.0796,first
upper,4450,0.0796,first
upper,4500,0.0796,first
upper,4550,0.0796,first
upper,4600,0.0796,first
upper,4650,0.0796,first
upper,4700,0.0796,first
upper,4750,0.0796,first
upper,4800,0.0796,first
upper,4850,0.0803,first
upper,4900,0.0803,first
upper,4950,0.0803,first
upper,1200,0.337,second
lower,1200,0.3246,second
upper,1250,0.3396,second
lower,1250,0.2811,second
upper,1300,0.3422,second
lower,1300,0.2941,second
upper,1350,0.3441,second
lower,1350,0.3064,second
upper,1400,0.3454,second
lower,1400,0.3188,second
upper,1450,0.3467,second
lower,1450,0.3181,second
upper,1500,0.348,second
lower,1500,0.3175,second
upper,1550,0.3493,second
lower,1550,0.3168,second
upper,1600,0.3506,second
lower,1600,0.3165,second
upper,1650,0.3513,second
lower,1650,0.3162,second
upper,1700,0.3519,second
lower,1700,0.3155,second
