lobe,Re,alpha,mode
upper,150,0.116,second
upper,250,0.1442,second
upper,400,0.1559,second
upper,640,0.1646,second
upper,1120,0.1719,second
upper,1600,0.1753,second
upper,2080,0.1778,second
upper,2560,0.1792,second
upper,3040,0.1802,second
upper,3520,0.1807,second
upper,4000,0.1816,second
upper,4480,0.1821,second
upper,4960,0.1821,second
lower,150,0.116,second
lower,180,0.1067,second
lower,660,0.1048,second
lower,1140,0.1126,second
lower,1620,0.114,second
lower,2100,0.115,second
lower,2580,0.1155,second
lower,3060,0.116,second
lower,3540,0.1165,second
lower,4020,0.117,second
lower,4500,0.117,second
lower,4980,0.1174,second
upper,850,0.0693,first
upper,1650,0.0737,first
upper,2050,0.0683,first
upper,2350,0.0732,first
upper,2710,0.0771,first
upper,3010,0.0795,first
upper,3370,0.0815,first
upper,3670,0.0829,first
upper,4030,0.0844,first
upper,4330,0.0853,first
upper,4690,0.0863,first
upper,4990,0.0868,first
lower,850,0.0343,first
lower,1210,0.0221,first
lower,1630,0.0148,first
lower,1990,0.0114,first
lower,2350,0.0095,first
lower,2710,0.008,first
lower,3130,0.0071,first
lower,3490,0.0061,first
lower,3850,0.0056,first
lower,4210,0.0051,first
lower,4630,0.0046,first
lower,4990,0.0041,first
