R,F_lower_x1e4,F_upper_x1e4,F_peak_x1e4,peak_omega_i
200,,,2.139163,-0.000300
300,,,1.263149,-0.000010
400,0.707984,1.211892,0.863849,0.000181
500,0.516573,0.999951,0.623779,0.000316
600,0.341938,0.831136,0.490721,0.000414
700,0.248088,0.703426,0.395727,0.000488
800,0.188436,0.606030,0.324529,0.000544
1000,0.120184,0.472866,0.241507,0.000625
1200,0.083964,0.390090,0.200094,0.000673
1400,0.241841,0.338772,0.182475,0.000642
1600,0.212149,0.308162,0.159109,0.000619
