Re_L,branch,alpha_neutral_pymack,status
400.0000,lower,0.144222,ok
400.0000,upper,0.189924,ok
600.0000,lower,0.034925,ok
600.0000,upper,0.197231,ok
800.0000,lower,0.033804,ok
800.0000,upper,0.200532,ok
1000.0000,lower,0.033099,ok
1000.0000,upper,0.202610,ok
1200.0000,lower,0.032536,ok
1200.0000,upper,0.204598,ok
1400.0000,lower,0.031967,ok
1400.0000,upper,0.205738,ok
1600.0000,lower,0.031471,ok
1600.0000,upper,0.206468,ok
1800.0000,lower,0.031039,ok
1800.0000,upper,0.206980,ok
2000.0000,lower,0.030659,ok
2000.0000,upper,0.207360,ok
2200.0000,lower,0.030321,ok
2200.0000,upper,0.207654,ok
2400.0000,lower,0.030019,ok
2400.0000,upper,0.207888,ok
2600.0000,lower,0.029740,ok
2600.0000,upper,0.208081,ok
2800.0000,lower,0.029478,ok
2800.0000,upper,0.208244,ok
3000.0000,lower,0.029237,ok
3000.0000,upper,0.208376,ok
3200.0000,lower,0.029001,ok
3200.0000,upper,0.208492,ok
3400.0000,lower,0.028776,ok
3400.0000,upper,0.208588,ok
3600.0000,lower,0.028551,ok
3600.0000,upper,0.208673,ok
3800.0000,lower,0.028330,ok
3800.0000,upper,0.208744,ok
4000.0000,lower,0.028103,ok
4000.0000,upper,0.208810,ok
4200.0000,lower,0.027875,ok
4200.0000,upper,0.208864,ok
