Ma,Re_L,alpha_L,c_i
6,300.000000,0.020000,-1.30215239e-02
6,300.000000,0.027586,-9.04080911e-03
6,300.000000,0.035172,-3.81662340e-03
6,300.000000,0.042759,-5.44846327e-03
6,300.000000,0.050345,-1.98474346e-03
6,300.000000,0.057931,-3.62866605e-03
6,300.000000,0.065517,-2.18288942e-03
6,300.000000,0.073103,-3.56143605e-03
6,300.000000,0.080690,-2.72810869e-03
6,300.000000,0.088276,-3.91506641e-03
6,300.000000,0.095862,-3.34216117e-03
6,300.000000,0.103448,-4.40543430e-03
6,300.000000,0.111034,-3.96694277e-03
6,300.000000,0.118621,-3.65686633e-03
6,300.000000,0.126207,-4.59144796e-03
6,300.000000,0.133793,-4.32503683e-03
6,300.000000,0.141379,-1.92299522e-03
6,300.000000,0.148966,1.94725756e-03
6,300.000000,0.156552,4.17663103e-03
6,300.000000,0.164138,4.58871089e-03
6,300.000000,0.171724,3.45014319e-03
6,300.000000,0.179310,1.09948311e-03
6,300.000000,0.186897,-2.05100693e-03
6,300.000000,0.194483,-5.46883084e-03
6,300.000000,0.202069,-7.69143627e-03
6,300.000000,0.209655,-7.49094902e-03
6,300.000000,0.217241,-8.30464506e-03
6,300.000000,0.224828,-8.10490577e-03
6,300.000000,0.232414,-8.90903278e-03
6,300.000000,0.240000,-8.70918776e-03
6,337.485919,0.020000,-1.45751654e-02
6,337.485919,0.027586,-8.69133935e-03
6,337.485919,0.035172,-2.93054942e-03
6,337.485919,0.042759,-4.74517095e-03
6,337.485919,0.050345,-1.48686535e-03
6,337.485919,0.057931,-3.12049734e-03
6,337.485919,0.065517,-1.74815674e-03
6,337.485919,0.073103,-3.06709984e-03
6,337.485919,0.080690,-2.28098568e-03
6,337.485919,0.088276,-3.39082840e-03
6,337.485919,0.095862,-2.85801493e-03
6,337.485919,0.103448,-3.83604245e-03
6,337.485919,0.111034,-3.43541786e-03
6,337.485919,0.118621,-3.16279819e-03
6,337.485919,0.126207,-4.00864729e-03
6,337.485919,0.133793,-3.77858316e-03
6,337.485919,0.141379,-1.80489242e-03
6,337.485919,0.148966,2.49274938e-03
6,337.485919,0.156552,5.16007616e-03
6,337.485919,0.164138,5.88015572e-03
6,337.485919,0.171724,4.93053141e-03
6,337.485919,0.179310,2.65578961e-03
6,337.485919,0.186897,-5.36711469e-04
6,337.485919,0.194483,-4.09350451e-03
6,337.485919,0.202069,-6.82725919e-03
6,337.485919,0.209655,-6.65622373e-03
6,337.485919,0.217241,-7.38167402e-03
