Re_L,alpha_digitized,alpha_pymack_ci_level,crossing_dir,rel_err_alpha,c_i_level
900.0000,0.045000,,,,0.0120
1100.0000,0.085000,,,,0.0120
1300.0000,0.115000,,,,0.0120
1500.0000,0.132000,,,,0.0120
1700.0000,0.138000,,,,0.0120
1900.0000,0.135000,,,,0.0120
2100.0000,0.125000,,,,0.0120
2300.0000,0.112000,,,,0.0120
2500.0000,0.098000,,,,0.0120
2700.0000,0.085000,,,,0.0120
2900.0000,0.072000,,,,0.0120
3100.0000,0.062000,,,,0.0120
3300.0000,0.054000,,,,0.0120
3500.0000,0.048000,,,,0.0120
3700.0000,0.043000,,,,0.0120
3900.0000,0.039000,,,,0.0120
4100.0000,0.036000,,,,0.0120
4300.0000,0.034000,,,,0.0120
4500.0000,0.032000,,,,0.0120
