freq_parameter,F_x1e4,lower_neutral_R_L,upper_neutral_R_L,peak_growth_R_L,peak_sigma_L,peak_wavelength_L,N_signed_peak,amplification_signed_peak,frequency_khz,F_times_1e4,x_mm,L_star_m,L_star_mm,sigma_per_m,sigma_per_mm,alpha_r_per_m,alpha_r_per_mm,alpha_i_per_m,alpha_i_per_mm,wavelength_mm,phase_speed_m_per_s,lower_neutral_x_mm,upper_neutral_x_mm,peak_growth_x_mm,peak_wavelength_mm
6.25625e-05,0.625625,1139.7086777344527,3031.8746353531255,2778.0155772163566,0.0037231649515906775,33.59158573994754,4.572622656284232,96.79764411043358,100.00006836087988,0.625625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,110.84151713027782,784.3993605868296,658.5429499660263,7.963059008253679
6.64726e-05,0.6647259999999999,1104.1091187575691,2870.9176104258,2600.014549961881,0.0037083066946898943,33.80418846818482,4.260189019194923,70.82336916537996,106.2499827232835,0.6647259999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104.02524442242711,703.3252513624607,576.8545309414072,7.499996214619481
7.03828e-05,0.7038280000000001,1050.7460680285412,2727.819089630416,2457.613728158301,0.0036941399515140723,33.75703589080306,3.997695419939,54.472469101719874,112.50005692595624,0.7038280000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,94.21288402658713,634.9592877106788,515.3971350869716,7.079338542019776
7.42929e-05,0.742929,1015.1616382761057,2585.5055094965755,2333.013009080168,0.0036802512862073966,33.66243806907765,3.7401847714714633,42.10576939125274,118.74997128835984,0.742929,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.93973394765428,570.4343722633191,464.4608070015085,6.701584213354403
7.82031e-05,0.782031,979.5834772999432,2477.8217515910546,2226.212392727483,0.0036618283214271507,33.473490171381165,3.5441013797338843,34.60857140090331,125.0000454910326,0.782031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.88373686056055,523.9078112791857,422.9099893701509,6.358905115615162
8.21132e-05,0.8211320000000001,961.7802765503,2353.648600091032,2119.4117763747977,0.0036463791933729443,33.47731733406772,3.326493879780727,27.840558039308647,131.24995985343622,0.8211320000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.93443138321176,472.71349184727785,383.305841421423,6.054534296877282
8.60234e-05,0.860234,926.2129442296672,2264.0181538567385,2012.6111600221125,0.0036300693153855364,33.672329628650516,3.172499469950594,23.867064877018873,137.50003405610892,0.860234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,73.20427499722823,437.3957524371166,345.6483631553247,5.782928094089332
8.99335e-05,0.899335,890.650447219776,2174.7740587080875,1923.6106463948747,0.003612252387541351,33.692266727488814,3.0245507174452353,20.584754262334798,143.74994841851253,0.899335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,67.69075095120269,403.59245572485435,315.75417060780717,5.530471437332337
9.38437e-05,0.938437,872.8602292890903,2102.991446235271,1852.4102354930847,0.0035981463607396838,33.490476136801,2.891571790532025,18.021613553336408,150.00002262118528,0.938437,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,65.01359227331358,377.38945760502725,292.812151411108,5.2938696739541315
9.77538e-05,0.977538,837.3061350421642,2014.2857904411042,1781.2098245912946,0.003579941216600061,33.416966605835256,2.7590121530107554,15.784242827508184,156.2499369835889,0.977538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.825081399272264,346.2238087149934,270.73531874002197,5.079218057553316
0.000101664,1.01664,819.5227672991257,1960.199900289132,1710.0094136895043,0.0035649557242401694,33.46919070599596,2.6526977055725207,14.192273624472907,162.50001118626162,1.01664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.31084318608383,327.88041570386156,249.52367259454914,4.883806671981201
0.0001055741,1.055741,801.7421607601184,1889.0730009901968,1638.8090027877142,0.003546133651230673,33.64742701582215,2.5395132963185176,12.673501229832008,168.74992554866523,1.055741,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.850955314873275,304.5174844906849,229.17721297468947,4.705382710333012
0.0001094843,1.094843,783.9641431566802,1835.3578700879575,1585.4086946113716,0.003532311006729711,33.51152420065918,2.442181498519684,11.4980964837859,174.99999975133798,1.094843,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,52.4453696000601,287.4459992192717,214.4851469172284,4.533672746988784
0.0001133945,1.133945,748.4235733311156,1781.7819902453884,1532.008386435029,0.003515696750720948,33.47056973579908,2.3564430545082713,10.553346933670925,181.2500739540107,1.133945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,47.79799371465408,270.90927952576993,200.27974828042477,4.375613959325105
0.0001173046,1.173046,730.6507698844486,1728.3164036454143,1478.6080782586864,0.0034992328529209393,33.52334514302868,2.26826820548086,9.662652587224017,187.4999883164143,1.173046,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.55483143648668,254.89496410485535,186.5610170642785,4.229754630209785
0.0001212148,1.212148,712.8801117327197,1674.9406169722454,1425.2077700823438,0.003478175715697454,33.67003204521822,2.1847020916639006,8.888000349534577,193.750062519087,1.212148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.36583858503796,239.39417564426554,173.32895326878966,4.094835527445304
0.0001251249,1.251249,695.1115078416905,1638.9958334248267,1389.607564631449,0.003465584135852037,33.41217287900385,2.109870630511102,8.247174282887583,199.99997688149068,1.251249,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.23098484184557,229.22947015085845,164.7779481943846,3.961974180227285
0.0001290351,1.290351,677.3448971744112,1600.3928965472032,1336.2072564551063,0.0034412393584317674,33.7295091275517,2.036852575581036,7.666441640422433,206.25005108416343,1.290351,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.15024446257207,218.55864103535586,152.35699676665814,3.845905407459533
0.0001329452,1.3294519999999999,659.5802550013052,1556.78607814659,1300.6070510042111,0.0034309242065089325,33.61131262939481,1.9672903342217944,7.1512726524869334,212.499965446567,1.3294519999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.12359653227097,206.8105215556714,144.34673327076126,3.730322064031093
0.0001368554,1.3685539999999998,659.5776114180766,1515.188531761642,1265.0068455533162,0.003415898329323132,33.55618682539363,1.8971245253037505,6.666696936187846,218.7500396492397,1.3685539999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.12329895174225,195.9061638884104,136.55276640626772,3.6222650945804147
0.0001407655,1.407655,641.8154983893796,1475.9320749547257,1229.406640102421,0.0033990425486326884,33.56328491537866,1.8348479074552484,6.264181337699639,224.99995401164335,1.407655,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.15079499116854,185.88634722863043,128.97509617317746,3.5210708634923966
0.0001446757,1.446757,624.0552256711636,1438.5688288528204,1193.8064346515262,0.0033799717687429676,33.632307891332275,1.775331298354172,5.902236213587689,231.25002821431607,1.446757,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.23233062123211,176.5940402988615,121.6137225714905,3.426141828871408
0.0001485858,1.485858,606.2969032829216,1402.9242228614698,1158.206229200631,0.0033551986789626268,33.76372129049676,1.718243933999576,5.574730269367958,237.4999425767197,1.485858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.367900491790625,167.95122626655586,114.46864560120682,3.3369596442658205
0.000152496,1.52496,606.2970698443033,1368.87060139323,1140.4061264751836,0.0033474577694613847,33.356143229986834,1.661488188694962,5.267143518191566,243.75001677939244,1.52496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.367917726520144,159.89671607843525,110.97721835284125,3.246012016863231
