R,x_paper,alpha_opt,omega_i_max,y_paper,alpha_opt_discrete,omega_i_max_discrete,refined,bracket_edge,c_r_at_opt,c_i_at_opt,sigma_min_at_opt
200.0,2.0,0.10251526367693263,-0.0013638059253335694,-1.3638059253335695,0.10626294004445355,-0.0013764369417533565,True,False,0.5204355692131954,-0.012953123084845425,9.946586518490693e-10
300.0,3.0,0.09472259019123978,-2.936364336734304e-05,-0.02936364336734304,0.09251419460072491,-3.428564642922311e-05,True,False,0.48850856249345503,-0.0003705987667859399,1.5803488988832643e-09
500.0,5.0,0.08389676545741137,0.0009297239546572911,0.9297239546572911,0.08464285714285714,0.0009290140461510075,True,False,0.45727561827246094,0.01097569337224819,2.426104165709838e-09
700.0,7.0,0.07681881598610794,0.0012539916057858471,1.2539916057858471,0.07945813970420655,0.0012436533650658477,True,False,0.4369985367731596,0.01565167986181796,1.3211724597033692e-09
1000.0,10.0,0.06950629877863297,0.001417076589847595,1.417076589847595,0.06834474171198934,0.0014149484146457078,True,False,0.40884699483013304,0.020703105743063936,2.5424902356397968e-09
1300.0,13.0,0.06441122432682232,0.0014549702411272552,1.4549702411272551,0.06460900459090603,0.001454901468892784,True,False,0.39344851798003105,0.022518555704502636,1.1934599708953459e-09
1600.0,16.0,0.06058477116479118,0.001449182266762823,1.449182266762823,0.061652481207759235,0.0014470034665477623,True,False,0.38137174243349214,0.023470320061760152,9.05112084152007e-10
2000.0,20.0,0.05667965897494976,0.0014169062383690423,1.4169062383690423,0.05847519770969298,0.001410187306576661,True,False,0.36849165024441133,0.024115990399514377,1.5219330726271895e-09
